name,ingredients,diet,is_vegan_friendly,course,flavor_profile,region,prep_time,cook_time,calories_per_100g,protein_g,fat_g,carbs_g,fiber_g,nutrition_source,text
Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,True,main course,spicy,North,25.0,30.0,565.7,5.4,1.0,21.7,6.9,ifct_composition,"Makki di roti sarson da saag (vegetarian) main course with Palak, makki atta, mustard green, garam masala, ginger, spicy flavor, North Indian cuisine"
Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,True,main course,spicy,North,30.0,30.0,1360.0,18.7,2.7,47.4,12.0,ifct_composition,"Misi roti (vegetarian) main course with Whole wheat flour, chickpea flour, green chilies, spicy flavor, North Indian cuisine"
Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,False,main course,spicy,North,10.0,30.0,137.7,2.3,0.5,2.4,3.5,ifct_composition,"Mushroom do pyaza (vegetarian) main course with Mushroom, malai, garam masala, ginger, capsicum, spicy flavor, North Indian cuisine"
Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,False,main course,spicy,North,10.0,30.0,1099.2,8.0,16.4,17.6,9.8,ifct_composition,"Mushroom matar (vegetarian) main course with Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes, spicy flavor, North Indian cuisine"
Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,False,main course,mild,North,60.0,30.0,929.0,8.7,0.8,39.7,8.3,ifct_composition,"Naan (vegetarian) main course with Whole wheat flour, honey, butter, garlic, mild flavor, North Indian cuisine"
Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,True,main course,spicy,North,25.0,40.0,967.0,16.1,0.7,32.5,9.2,ifct_composition,"Navrattan korma (vegetarian) main course with Green beans, potatoes, khus khus, low fat, garam masala powder, spicy flavor, North Indian cuisine"
Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,False,main course,spicy,North,20.0,40.0,320.0,12.0,14.0,35.0,5.0,estimated_fallback,"Palak paneer (vegetarian) main course with Cottage cheese, palak, cream, garam masala, butter, spicy flavor, North Indian cuisine"
Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,False,main course,spicy,North,20.0,40.0,2438.0,18.8,45.2,23.2,3.9,ifct_partial,"Paneer butter masala (vegetarian) main course with Paneer, whipping cream, garam masala, cashew nuts, butter, spicy flavor, North Indian cuisine"
Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,False,main course,spicy,North,20.0,40.0,607.5,6.7,3.6,20.3,16.6,ifct_partial,"Paneer tikka masala (vegetarian) main course with Paneer, greek yogurt, tandoori masala, cream, bell pepper, spicy flavor, North Indian cuisine"
Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,True,snack,spicy,any,15.0,2.0,322.7,7.6,1.8,4.8,0.6,ifct_composition,"Pani puri (vegetarian) snack with Kala chana, mashed potato, boondi, sev, lemon, spicy flavor, any Indian cuisine"
Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,True,dessert,sweet,any,10.0,25.0,1150.2,10.7,8.2,33.4,12.3,ifct_composition,"Panjeeri (vegetarian) dessert with Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina, sweet flavor, any Indian cuisine"
Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,True,snack,spicy,any,5.0,5.0,532.0,8.2,0.9,17.5,4.5,ifct_composition,"Papad (vegetarian) snack with Urad dal, sev, lemon juice, chopped tomatoes, spicy flavor, any Indian cuisine"
Paratha,"Wheat flour, butter, potato, coriander",vegetarian,False,main course,spicy,North,15.0,45.0,587.3,5.2,0.8,23.9,5.9,ifct_composition,"Paratha (vegetarian) main course with Wheat flour, butter, potato, coriander, spicy flavor, North Indian cuisine"
Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,True,main course,spicy,West,10.0,30.0,1403.5,16.2,3.4,51.6,12.0,ifct_partial,"Pattor (vegetarian) main course with Arbi ke patte, sesame seeds, gur, bengal gram flour, imli, spicy flavor, West Indian cuisine"
Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,True,main course,spicy,North,500.0,120.0,87.0,1.1,0.3,1.3,1.6,ifct_partial,"Pindi chana (vegetarian) main course with Fennel, tea bags, tomato, kasuri methi, cinnamon, spicy flavor, North Indian cuisine"
Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,True,main course,spicy,North,15.0,90.0,224.1,3.3,0.4,6.6,3.4,ifct_composition,"Rajma chaval (vegetarian) main course with Red kidney beans, garam masala powder, ginger, tomato, mustard oil, spicy flavor, North Indian cuisine"
Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,True,main course,mild,North,10.0,30.0,17.4,0.2,0.1,0.3,0.3,ifct_composition,"Rongi (vegetarian) main course with Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil, mild flavor, North Indian cuisine"
Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,True,snack,spicy,any,30.0,30.0,628.3,9.2,0.8,19.6,5.5,ifct_composition,"Samosa (vegetarian) snack with Potatoes, green peas, garam masala, ginger, dough, spicy flavor, any Indian cuisine"
Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,True,main course,spicy,North,10.0,20.0,268.0,2.1,0.3,11.7,2.3,ifct_composition,"Sattu ki roti (vegetarian) main course with Sattu, atta, dough, filling, mustard oil, spicy flavor, North Indian cuisine"
Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,False,main course,spicy,North,20.0,40.0,158.5,1.7,0.6,3.2,3.5,ifct_partial,"Shahi paneer (vegetarian) main course with Cottage cheese, malai, garam masala, ginger, tomato, spicy flavor, North Indian cuisine"
Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,False,dessert,sweet,South,10.0,30.0,1446.0,14.4,22.1,18.4,8.3,ifct_composition,"Shahi tukra (vegetarian) dessert with Rose water, milk, white bread slices, saffron, almonds, sweet flavor, South Indian cuisine"
Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,True,main course,spicy,North,10.0,30.0,194.2,2.1,0.7,4.0,5.0,ifct_composition,"Vegetable jalfrezi (vegetarian) main course with Baby corn, french beans, garam masala, ginger, carrot, spicy flavor, North Indian cuisine"
Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,False,main course,spicy,North,240.0,30.0,61.0,0.7,0.9,1.0,0.0,ifct_composition,"Tandoori Chicken (non vegetarian) main course with Greek yogurt, garam masala, kasuri methi, marinade, mustard oil, spicy flavor, North Indian cuisine"
Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,False,starter,spicy,North,240.0,30.0,865.0,17.7,3.1,22.1,6.1,ifct_composition,"Tandoori Fish Tikka (non vegetarian) starter with Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper, spicy flavor, North Indian cuisine"
Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,True,snack,spicy,South,150.0,25.0,864.0,14.4,2.1,26.4,6.5,ifct_composition,"Attu (vegetarian) snack with Whole wheat flour, arhar dal, ginger, kala jeera, green chilli, spicy flavor, South Indian cuisine"
Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,True,main course,spicy,South,30.0,45.0,819.0,9.1,0.8,34.4,6.1,ifct_composition,"Avial (vegetarian) main course with Raw banana, elephant foot yam, long beans, tindora, urad dal, spicy flavor, South Indian cuisine"
Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,True,main course,spicy,South,30.0,45.0,1022.5,17.5,1.3,34.4,10.7,ifct_composition,"Bisi bele bath (vegetarian) main course with Split pigeon peas, chana dal, urad dal, green peas, french beans, spicy flavor, South Indian cuisine"
Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,True,main course,spicy,South,10.0,20.0,654.0,12.6,1.0,20.1,11.7,ifct_composition,"Currivepillai sadam  (vegetarian) main course with Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves, spicy flavor, South Indian cuisine"
Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,True,snack,spicy,South,360.0,90.0,1397.3,18.4,1.5,56.5,9.4,ifct_composition,"Dosa (vegetarian) snack with Chana dal, urad dal, whole urad dal, blend rice, rock salt, spicy flavor, South Indian cuisine"
Idiappam,"Rice flour, hot water, grated coconut",vegetarian,True,snack,spicy,South,120.0,30.0,2045.5,7.4,32.2,37.7,9.7,ifct_composition,"Idiappam (vegetarian) snack with Rice flour, hot water, grated coconut, spicy flavor, South Indian cuisine"
Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,True,snack,spicy,South,360.0,90.0,1397.3,18.4,1.5,56.5,9.4,ifct_composition,"Idli (vegetarian) snack with Split urad dal, urad dal, idli rice, thick poha, rock salt, spicy flavor, South Indian cuisine"
Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,True,snack,mild,South,10.0,45.0,1031.8,14.6,2.1,36.2,11.1,ifct_composition,"Kanji (vegetarian) snack with Carrot, yellow mustard, red chilli, black salt, mild flavor, South Indian cuisine"
Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,True,main course,spicy,South,,,95.4,1.9,0.3,1.5,2.9,ifct_composition,"Kaara kozhambu (vegetarian) main course with Sesame oil, drumstick, tamarind paste, sambar powder, tomato, spicy flavor, South Indian cuisine"
Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,True,main course,spicy,South,20.0,30.0,403.0,7.0,0.5,13.2,3.4,ifct_composition,"Keerai kootu (vegetarian) main course with Moong dal, chana dal, spinach, urad dal, coconut oil, spicy flavor, South Indian cuisine"
Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,True,main course,spicy,South,,,387.2,7.3,0.8,11.8,7.2,ifct_composition,"Keerai masiyal (vegetarian) main course with Urad dal, curry leaves, sugar, mustard seeds, spinach, spicy flavor, South Indian cuisine"
Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,True,main course,spicy,South,10.0,20.0,125.8,2.7,0.6,1.6,3.5,ifct_composition,"Keerai sadam (vegetarian) main course with Greens, tomato, mustard seeds, fenugreek seeds, spicy flavor, South Indian cuisine"
Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,True,main course,spicy,South,20.0,30.0,1367.2,13.7,14.6,30.8,11.1,ifct_composition,"Keerai poriyal (vegetarian) main course with Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili, spicy flavor, South Indian cuisine"
Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,False,main course,spicy,South,10.0,60.0,1282.2,14.8,20.1,13.1,10.5,ifct_composition,"Beef Fry (non vegetarian) main course with Beef, coconut, garam masala, curry leaves, green chilies, chili powder, spicy flavor, South Indian cuisine"
Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,True,main course,spicy,South,10.0,15.0,760.0,12.2,1.0,26.9,9.8,ifct_composition,"Kootu (vegetarian) main course with Chana dal, urad dal, potato, beans, peas, spicy flavor, South Indian cuisine"
Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,True,main course,spicy,South,10.0,20.0,500.8,9.7,0.8,13.5,9.7,ifct_composition,"Kos kootu (vegetarian) main course with Moong dal, chana dal, cabbage, tamarind, curry leaves, spicy flavor, South Indian cuisine"
Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,True,main course,spicy,South,10.0,20.0,645.4,11.3,0.9,18.2,7.5,ifct_composition,"Koshambri (vegetarian) main course with Moong dal, cucumber, curry leaves, green chili, lemon juice, spicy flavor, South Indian cuisine"
Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,True,main course,spicy,South,10.0,20.0,1034.0,13.2,1.3,41.5,11.1,ifct_composition,"Kothamali sadam (vegetarian) main course with Chana dal, urad dal, gooseberry, raw rice, curry leaves, spicy flavor, South Indian cuisine"
Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,True,main course,spicy,South,10.0,90.0,795.9,2.6,9.2,23.3,2.9,ifct_composition,"Kuzhakkattai (vegetarian) main course with Sesame oil, raw rice, jaggery, grated coconut, spicy flavor, South Indian cuisine"
Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,True,main course,spicy,South,5.0,30.0,387.8,7.3,0.7,11.6,8.5,ifct_composition,"Kuzhambu (vegetarian) main course with Pearl onions, urad dal, drumsticks, tomato, curry leaves, spicy flavor, South Indian cuisine"
Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,True,snack,spicy,South,360.0,90.0,1042.7,11.3,1.1,44.2,6.0,ifct_composition,"Masala Dosa (vegetarian) snack with Chana dal, urad dal, potatoes, idli rice, thick poha, spicy flavor, South Indian cuisine"
Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,False,main course,mild,South,10.0,25.0,97.5,1.9,0.8,1.4,2.9,ifct_composition,"Pachadi (vegetarian) main course with Coconut oil, cucumber, curd, curry leaves, mustard seeds, mild flavor, South Indian cuisine"
Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,False,main course,mild,South,10.0,20.0,541.0,9.2,1.9,13.9,7.9,ifct_composition,"Paniyaram (vegetarian) main course with Yogurt, ginger, curry leaves, baking soda, green chilli, mild flavor, South Indian cuisine"
Papadum,"Lentils, black pepper, vegetable oil",vegetarian,True,snack,spicy,South,5.0,5.0,298.0,2.9,1.1,11.3,1.4,ifct_composition,"Papadum (vegetarian) snack with Lentils, black pepper, vegetable oil, spicy flavor, South Indian cuisine"
Paravannam,"Raw rice,  jaggery, milk",vegetarian,False,main course,spicy,South,,,1136.3,4.9,2.7,53.9,1.5,ifct_composition,"Paravannam (vegetarian) main course with Raw rice,  jaggery, milk, spicy flavor, South Indian cuisine"
Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,False,dessert,sweet,South,15.0,30.0,1146.2,6.6,10.7,32.7,2.4,ifct_composition,"Payasam (vegetarian) dessert with Rice, cashew nuts, milk, raisins, sugar, sweet flavor, South Indian cuisine"
Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,True,main course,mild,South,10.0,20.0,176.5,4.3,0.7,2.5,9.2,ifct_partial,"Paruppu sadam (vegetarian) main course with Arhar dal, sambar powder, tomato, curry leaves, fennel seeds, mild flavor, South Indian cuisine"
Pesarattu,"Green moong beans, rice flour",vegetarian,True,snack,spicy,South,120.0,20.0,1421.5,15.7,1.2,55.2,6.4,ifct_composition,"Pesarattu (vegetarian) snack with Green moong beans, rice flour, spicy flavor, South Indian cuisine"
Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,True,main course,spicy,South,,,1054.2,9.4,16.4,14.8,10.1,ifct_composition,"Poriyal (vegetarian) main course with Chana dal, urad dal, beans, coconut, mustard, spicy flavor, South Indian cuisine"
Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,True,main course,mild,South,10.0,20.0,710.8,9.2,1.0,26.8,8.8,ifct_composition,"Puli sadam (vegetarian) main course with Urad dal, lemon, tamarind, cooked rice, curry leaves, mild flavor, South Indian cuisine"
Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,True,main course,spicy,South,10.0,35.0,249.5,4.7,0.5,6.8,6.9,ifct_composition,"Rasam (vegetarian) main course with Tomato, curry leaves, garlic, mustard seeds, hot water, spicy flavor, South Indian cuisine"
Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,True,main course,mild,South,495.0,40.0,1395.0,7.0,23.0,23.6,8.0,ifct_composition,"Puttu (vegetarian) main course with Brown rice flour, sugar, grated coconut, mild flavor, South Indian cuisine"
Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,True,main course,spicy,South,20.0,45.0,563.8,10.5,2.9,13.7,8.6,ifct_composition,"Sambar (vegetarian) main course with Pigeon peas, eggplant, drumsticks, sambar powder, tamarind, spicy flavor, South Indian cuisine"
Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,True,main course,mild,South,120.0,60.0,1078.7,9.8,2.6,42.9,9.1,ifct_composition,"Sandige (vegetarian) main course with Thin rice flakes, black sesame seeds, curry leaves, mild flavor, South Indian cuisine"
Sevai,"Sevai, parboiled rice, steamer",vegetarian,True,main course,mild,South,120.0,30.0,0.0,0.0,0.0,0.0,0.0,ifct_composition,"Sevai (vegetarian) main course with Sevai, parboiled rice, steamer, mild flavor, South Indian cuisine"
Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,False,main course,mild,South,10.0,20.0,253.8,4.4,1.0,7.1,4.2,ifct_composition,"Thayir sadam (vegetarian) main course with Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds, mild flavor, South Indian cuisine"
Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,True,main course,mild,South,15.0,20.0,608.1,3.4,9.3,10.5,5.4,ifct_composition,"Theeyal (vegetarian) main course with Coconut, whole red beans, masala, sesame oil, tamarind, mild flavor, South Indian cuisine"
Uttapam,"Chana dal, urad dal, thick poha, tomato, butter",vegetarian,False,snack,spicy,South,10.0,20.0,721.5,12.1,1.0,25.0,6.8,ifct_partial,"Uttapam (vegetarian) snack with Chana dal, urad dal, thick poha, tomato, butter, spicy flavor, South Indian cuisine"
Vada,"Urad dal, ginger, curry leaves, green chilies, black pepper",vegetarian,True,snack,spicy,South,15.0,20.0,941.0,14.2,2.1,31.2,10.1,ifct_composition,"Vada (vegetarian) snack with Urad dal, ginger, curry leaves, green chilies, black pepper, spicy flavor, South Indian cuisine"
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",non vegetarian,False,main course,spicy,South,10.0,35.0,238.2,6.1,1.9,2.1,2.2,ifct_composition,"Chicken Varuval (non vegetarian) main course with Meat curry powder, chicken chunks, ginger, tomato, cinnamon, spicy flavor, South Indian cuisine"
Upma,"Chana dal, urad dal, ginger, curry leaves, sugar",vegetarian,True,snack,spicy,any,10.0,20.0,484.2,8.3,0.9,15.3,8.7,ifct_composition,"Upma (vegetarian) snack with Chana dal, urad dal, ginger, curry leaves, sugar, spicy flavor, any Indian cuisine"
Amti,"Kala masala, arhar dal, curry leaves, mustard seeds, hot water",vegetarian,True,main course,spicy,West,10.0,45.0,305.3,10.6,2.0,1.7,6.9,ifct_composition,"Amti (vegetarian) main course with Kala masala, arhar dal, curry leaves, mustard seeds, hot water, spicy flavor, West Indian cuisine"
Zunka,"Gram flour, mustard, garlic, turmeric, red chilli",vegetarian,True,main course,spicy,West,10.0,25.0,889.6,11.9,2.6,29.9,12.4,ifct_composition,"Zunka (vegetarian) main course with Gram flour, mustard, garlic, turmeric, red chilli, spicy flavor, West Indian cuisine"
Kolim Jawla,"Baingan, fish, coconut oil, fresh coconut, ginger",non vegetarian,False,main course,spicy,West,,,140.7,4.5,0.3,1.9,1.7,ifct_composition,"Kolim Jawla (non vegetarian) main course with Baingan, fish, coconut oil, fresh coconut, ginger, spicy flavor, West Indian cuisine"
Saath,"Urad dal, potatoes, wheat flour, sooji",vegetarian,True,main course,spicy,West,20.0,40.0,996.0,11.7,1.2,39.7,8.3,ifct_composition,"Saath (vegetarian) main course with Urad dal, potatoes, wheat flour, sooji, spicy flavor, West Indian cuisine"
Bajri no rotlo,"Wheat flour, pearl millet flour, hot water",vegetarian,True,main course,spicy,West,10.0,10.0,748.5,5.5,0.9,33.0,7.9,ifct_composition,"Bajri no rotlo (vegetarian) main course with Wheat flour, pearl millet flour, hot water, spicy flavor, West Indian cuisine"
Coconut vadi,"Condensed milk, mawa, desiccated coconut, almonds, cashews",vegetarian,False,dessert,sweet,West,20.0,30.0,1869.7,9.8,42.8,4.9,9.6,ifct_composition,"Coconut vadi (vegetarian) dessert with Condensed milk, mawa, desiccated coconut, almonds, cashews, sweet flavor, West Indian cuisine"
Bhakri,"Jowar flour, sesame seeds",vegetarian,True,main course,mild,West,20.0,25.0,1398.0,10.0,1.7,61.0,10.2,ifct_composition,"Bhakri (vegetarian) main course with Jowar flour, sesame seeds, mild flavor, West Indian cuisine"
Bombil fry,"Bombay duck, malvani masala, rice flour, bombay rava, green chilies",non vegetarian,False,main course,spicy,West,,,919.2,16.0,2.4,27.6,3.2,ifct_composition,"Bombil fry (non vegetarian) main course with Bombay duck, malvani masala, rice flour, bombay rava, green chilies, spicy flavor, West Indian cuisine"
Chakali,"Rice flour, sesame, plain flour, turmeric, red chilli",vegetarian,True,snack,spicy,West,10.0,40.0,1344.5,11.3,2.2,56.5,11.0,ifct_composition,"Chakali (vegetarian) snack with Rice flour, sesame, plain flour, turmeric, red chilli, spicy flavor, West Indian cuisine"
Chevdo,"Citric acid, fry, raisins, sugar, chana daal",vegetarian,True,snack,spicy,West,20.0,30.0,682.0,1.6,0.2,33.2,2.3,ifct_partial,"Chevdo (vegetarian) snack with Citric acid, fry, raisins, sugar, chana daal, spicy flavor, West Indian cuisine"
Chorafali,"Urad dal, bengal gram flour, dried mango, baking soda, black salt",vegetarian,True,snack,spicy,West,5.0,15.0,1107.0,15.0,3.2,38.8,9.3,ifct_composition,"Chorafali (vegetarian) snack with Urad dal, bengal gram flour, dried mango, baking soda, black salt, spicy flavor, West Indian cuisine"
Copra paak,"Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut",vegetarian,False,main course,mild,West,20.0,30.0,1730.8,9.5,33.7,14.9,12.1,ifct_composition,"Copra paak (vegetarian) main course with Condensed milk, nestle cream, coconut ice, red food coloring, desiccated coconut, mild flavor, West Indian cuisine"
Daal Dhokli,"Whole wheat flour, dal, kokum, gur, bengal gram flour",vegetarian,True,main course,spicy,West,20.0,30.0,1381.0,16.1,3.4,50.9,12.6,ifct_composition,"Daal Dhokli (vegetarian) main course with Whole wheat flour, dal, kokum, gur, bengal gram flour, spicy flavor, West Indian cuisine"
Kutchi dabeli,"Pav, aloo, peanut, pomegranate, star anise",vegetarian,True,snack,spicy,West,30.0,10.0,178.0,2.4,0.3,6.2,3.4,ifct_partial,"Kutchi dabeli (vegetarian) snack with Pav, aloo, peanut, pomegranate, star anise, spicy flavor, West Indian cuisine"
Dahi vada,"Urad dal, bhuna chana, garam masala, dates, tamarind",vegetarian,True,snack,mild,West,30.0,30.0,998.3,10.4,0.8,41.1,10.5,ifct_composition,"Dahi vada (vegetarian) snack with Urad dal, bhuna chana, garam masala, dates, tamarind, mild flavor, West Indian cuisine"
Dalithoy,"Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli",vegetarian,True,main course,mild,West,5.0,20.0,235.0,4.4,0.5,6.5,5.3,ifct_composition,"Dalithoy (vegetarian) main course with Arhar dal, coconut oil, curry leaves, mustard seeds, red chilli, mild flavor, West Indian cuisine"
Dhokla,"Rava, coconut, gram flour, mustard, sesame",vegetarian,True,snack,spicy,West,10.0,20.0,1145.5,13.5,18.0,12.5,8.7,ifct_composition,"Dhokla (vegetarian) snack with Rava, coconut, gram flour, mustard, sesame, spicy flavor, West Indian cuisine"
Dudhi halwa,"Bottle gourd, green, raisins, sugar, clarified butter",vegetarian,False,dessert,sweet,West,15.0,30.0,693.2,6.9,0.5,27.4,4.0,ifct_composition,"Dudhi halwa (vegetarian) dessert with Bottle gourd, green, raisins, sugar, clarified butter, sweet flavor, West Indian cuisine"
Gatta curry,"Yogurt, besan, sauce, garam masala powder, gram flour",vegetarian,False,main course,spicy,West,10.0,20.0,1019.7,15.5,5.0,29.3,10.1,ifct_composition,"Gatta curry (vegetarian) main course with Yogurt, besan, sauce, garam masala powder, gram flour, spicy flavor, West Indian cuisine"
Gud papdi,"Wheat flour, jaggery, clarified butter, sliced almonds",vegetarian,False,dessert,sweet,West,10.0,20.0,1789.7,10.3,20.1,48.4,8.1,ifct_composition,"Gud papdi (vegetarian) dessert with Wheat flour, jaggery, clarified butter, sliced almonds, sweet flavor, West Indian cuisine"
Ghooghra,"Dry fruits, semolina, all purpose flour",vegetarian,True,snack,spicy,West,,,1422.0,10.2,1.8,64.2,8.2,ifct_composition,"Ghooghra (vegetarian) snack with Dry fruits, semolina, all purpose flour, spicy flavor, West Indian cuisine"
Handwo,"Bottle gourd, chana dal, cabbage, urad dal, toor dal",vegetarian,True,snack,spicy,West,20.0,30.0,492.3,8.4,0.7,17.1,5.4,ifct_composition,"Handwo (vegetarian) snack with Bottle gourd, chana dal, cabbage, urad dal, toor dal, spicy flavor, West Indian cuisine"
Halvasan,"Whole wheat rava, chia seed, lemon, edible gum, litre milk",vegetarian,False,dessert,sweet,West,,,649.7,4.9,2.9,22.5,3.7,ifct_composition,"Halvasan (vegetarian) dessert with Whole wheat rava, chia seed, lemon, edible gum, litre milk, sweet flavor, West Indian cuisine"
Jeera Aloo,"Green chilies, lemon juice, chili powder, boiled potatoes",vegetarian,True,main course,spicy,West,10.0,30.0,252.7,4.0,0.4,7.4,1.6,ifct_composition,"Jeera Aloo (vegetarian) main course with Green chilies, lemon juice, chili powder, boiled potatoes, spicy flavor, West Indian cuisine"
Kansar,"Wheat flour, cashews, rapeseed oil",vegetarian,True,main course,mild,West,10.0,40.0,268.0,2.1,0.3,11.7,2.3,ifct_composition,"Kansar (vegetarian) main course with Wheat flour, cashews, rapeseed oil, mild flavor, West Indian cuisine"
Keri no ras,"Mango, sugar",vegetarian,True,main course,sour,West,10.0,10.0,145.0,0.6,0.1,6.0,1.9,ifct_composition,"Keri no ras (vegetarian) main course with Mango, sugar, sour flavor, West Indian cuisine"
Khakhra,"Whole wheat flour, low fat, bengal gram flour",vegetarian,True,snack,spicy,West,20.0,40.0,1321.0,18.3,2.5,47.9,14.4,ifct_composition,"Khakhra (vegetarian) snack with Whole wheat flour, low fat, bengal gram flour, spicy flavor, West Indian cuisine"
Khandvi,"Green chili paste, white sesame seeds, gram flour, curry leaves, green chili",vegetarian,True,snack,spicy,West,20.0,45.0,1141.8,19.6,2.0,35.3,12.5,ifct_composition,"Khandvi (vegetarian) snack with Green chili paste, white sesame seeds, gram flour, curry leaves, green chili, spicy flavor, West Indian cuisine"
Kombdi vade,"Rice flour, urad dal, wheat flour, gram flour, turmeric",vegetarian,True,snack,spicy,West,10.0,25.0,1345.4,14.1,2.9,52.6,12.7,ifct_composition,"Kombdi vade (vegetarian) snack with Rice flour, urad dal, wheat flour, gram flour, turmeric, spicy flavor, West Indian cuisine"
Laapsi,"Cinnamon, jaggery, clarified butter, dry roasted",vegetarian,False,main course,spicy,Central,10.0,40.0,1439.0,5.3,2.0,72.7,6.1,ifct_composition,"Laapsi (vegetarian) main course with Cinnamon, jaggery, clarified butter, dry roasted, spicy flavor, Central Indian cuisine"
Koshimbir,"Cucumber, carrot, tomatoes, cilantro",vegetarian,True,main course,spicy,West,10.0,10.0,102.7,0.9,0.3,2.2,2.6,ifct_composition,"Koshimbir (vegetarian) main course with Cucumber, carrot, tomatoes, cilantro, spicy flavor, West Indian cuisine"
Methi na Gota,"Rava, gram flour, lemon juice, turmeric, fenugreek leaves",vegetarian,True,main course,bitter,West,15.0,30.0,663.0,11.0,2.9,18.3,8.3,ifct_composition,"Methi na Gota (vegetarian) main course with Rava, gram flour, lemon juice, turmeric, fenugreek leaves, bitter flavor, West Indian cuisine"
